,game_id,team,epa,success,yards_gained,touchdown,interception,fumble_lost,season,week,home_team,away_team,home_score,away_score,opponent,win,avg_points_last3,epa_last3,epa_last5,def_epa_allowed,epa_diff
1202,2025_02_WAS_GB,GB,0.04642447959787643,0.49411764705882355,404.0,3.0,0.0,0.0,2025,2,GB,WAS,27.0,18.0,WAS,1,324.0,0.013913858419955995,-0.03224280568683789,-0.014640903995567462,0.06106538359344389
1217,2025_03_GB_CLE,GB,-0.09447875355263805,0.39759036144578314,230.0,1.0,1.0,0.0,2025,3,CLE,GB,13.0,10.0,CLE,0,300.0,0.04557760306594663,-0.04444732105883729,-0.014640903995567462,-0.07983784955707059
1247,2025_04_GB_DAL,GB,0.24406398523744516,0.5238095238095238,489.0,5.0,0.0,1.0,2025,4,DAL,GB,40.0,40.0,DAL,0,374.3333333333333,0.06533657042756116,0.03826536138893504,-0.014640903995567462,0.2587048892330126
1303,2025_06_CIN_GB,GB,0.21914906347053859,0.5945945945945946,409.0,3.0,1.0,0.0,2025,6,GB,CIN,27.0,18.0,CIN,1,376.0,0.12291143171844854,0.11998917158116473,-0.014640903995567462,0.23378996746610606
1331,2025_07_GB_ARI,GB,0.12457736098708436,0.5416666666666666,262.0,3.0,0.0,0.0,2025,7,ARI,GB,23.0,27.0,ARI,1,386.6666666666667,0.19593013656502267,0.1079472271480613,-0.014640903995567462,0.13921826498265183
1152,2025_01_HOU_LA,HOU,-0.12130735018581618,0.3684210526315789,265.0,0.0,1.0,1.0,2025,1,LA,HOU,14.0,9.0,LA,0,343.3333333333333,-0.08326090435698344,-0.09408681079667189,-0.052958817630697055,-0.06834853255511912
1200,2025_02_TB_HOU,HOU,8.430002008872921e-05,0.4262295081967213,266.0,2.0,0.0,0.0,2025,2,HOU,TB,19.0,20.0,TB,0,289.0,-0.053225818231868366,-0.03947557174003456,-0.052958817630697055,0.05304311765078579
1218,2025_03_HOU_JAX,HOU,-0.22187935449775442,0.3670886075949367,271.0,1.0,2.0,1.0,2025,3,JAX,HOU,17.0,10.0,JAX,0,267.3333333333333,-0.11436746822116062,-0.0943155535097232,-0.052958817630697055,-0.16892053686705738
1264,2025_04_TEN_HOU,HOU,0.06947528488687198,0.4146341463414634,353.0,3.0,0.0,0.0,2025,4,HOU,TEN,26.0,0.0,TEN,1,296.6666666666667,-0.05077325653026458,-0.06241630486129751,-0.052958817630697055,0.12243410251756903
1275,2025_05_HOU_BAL,HOU,0.31626189028250784,0.6190476190476191,417.0,5.0,0.0,0.0,2025,5,BAL,HOU,10.0,44.0,BAL,1,347.0,0.05461927355720846,0.008526954101179585,-0.052958817630697055,0.3692207079132049
1332,2025_07_HOU_SEA,HOU,-0.26270551750662446,0.4,254.0,1.0,1.0,0.0,2025,7,SEA,HOU,27.0,19.0,SEA,0,341.3333333333333,0.04101055255425177,-0.019752679362982067,-0.052958817630697055,-0.20974669987592742
1158,2025_01_MIA_IND,IND,0.2513866281498552,0.5529411764705883,418.0,3.0,0.0,0.0,2025,1,IND,MIA,33.0,8.0,MIA,1,431.0,0.12489074195659174,0.02591532521799108,-0.00452338386233512,0.2559100120121903
1183,2025_02_DEN_IND,IND,0.15529270746341772,0.5287356321839081,473.0,2.0,0.0,0.0,2025,2,IND,DEN,29.0,28.0,DEN,1,440.0,0.1516547678863076,0.1333715690931827,-0.00452338386233512,0.15981609132575283
1220,2025_03_IND_TEN,IND,0.2662427980970872,0.6056338028169014,365.0,4.0,0.0,0.0,2025,3,TEN,IND,20.0,41.0,TEN,1,418.6666666666667,0.22430737790345337,0.15924154628605602,-0.00452338386233512,0.2707661819594223
1248,2025_04_IND_LA,IND,-0.06389130758340589,0.46835443037974683,333.0,2.0,2.0,1.0,2025,4,LA,IND,27.0,20.0,LA,0,390.3333333333333,0.11921473265903303,0.1314631588345208,-0.00452338386233512,-0.05936792372107077
1278,2025_05_LV_IND,IND,0.24241038223435066,0.5066666666666667,319.0,6.0,0.0,0.0,2025,5,IND,LV,40.0,6.0,LV,1,339.0,0.14825395758267734,0.17028824167226095,-0.00452338386233512,0.24693376609668577
1297,2025_06_ARI_IND,IND,0.16656564016936753,0.5733333333333334,355.0,4.0,1.0,0.0,2025,6,IND,ARI,31.0,27.0,ARI,1,335.6666666666667,0.11502823827343744,0.15332404407616346,-0.00452338386233512,0.17108902403170265
